Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,DeFG%,DTOV%,DRB%,DFT/FGA,PFWins,Year
26,Minnesota Timberwolves,23.2,23,49,24,48,-5.56,0.31,-5.25,109.5,115,-5.5,101.6,0.254,0.413,0.555,0.52,12.4,22.7,0.193,0.556,13.3,76.8,0.207,0,2021
27,Houston Rockets,26.5,17,55,20,52,-7.9,0.4,-7.5,107.1,114.9,-7.8,101.4,0.252,0.459,0.553,0.521,13,19.8,0.187,0.555,12.9,77.1,0.201,0,2021
28,Cleveland Cavaliers,24,22,50,18,54,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,0.261,0.347,0.543,0.508,13.9,23.6,0.194,0.556,13,76.6,0.183,0,2021
29,Orlando Magic,25.6,21,51,17,55,-9.31,0.29,-9.02,105.1,114.5,-9.4,98.7,0.24,0.356,0.527,0.49,11.5,21.6,0.186,0.547,11.5,78.2,0.169,0,2021
30,Oklahoma City Thunder,22.8,22,50,15,57,-10.64,0.51,-10.13,103.5,114,-10.5,101,0.242,0.399,0.539,0.509,14.2,21.2,0.176,0.547,11.5,77.9,0.167,0,2021
1,Milwaukee Bucks*,26.9,60,22,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,0.55,12,20.8,0.197,0.503,11.5,80.3,0.162,10,2019
2,Golden State Warriors*,28.4,57,25,56,26,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,0.227,0.384,0.596,0.565,12.6,22.5,0.182,0.508,11.7,77.1,0.205,14,2019
3,Toronto Raptors*,27.3,58,24,56,26,6.09,-0.6,5.49,113.1,107.1,6,100.2,0.247,0.379,0.579,0.543,12.4,21.9,0.198,0.509,13.1,77.1,0.19,16,2019
4,Utah Jazz*,27.3,50,32,54,28,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.394,0.572,0.538,13.4,22.9,0.217,0.507,12.4,80.3,0.189,1,2019
5,Houston Rockets*,29.2,53,29,53,29,4.77,0.19,4.96,115.5,110.7,4.8,97.9,0.279,0.519,0.581,0.542,12,22.8,0.221,0.525,13.4,74.4,0.21,6,2019
6,Boston Celtics*,25.7,49,33,52,30,4.44,-0.54,3.9,112.2,107.8,4.4,99.6,0.215,0.381,0.567,0.534,11.5,21.6,0.173,0.514,13.4,77,0.198,5,2019
7,Portland Trail Blazers*,26.2,53,29,51,31,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,0.528,12.1,26.6,0.21,0.516,11,77.9,0.195,8,2019
8,Denver Nuggets*,24.9,54,28,51,31,3.95,0.24,4.19,113,108.9,4.1,97.7,0.232,0.348,0.558,0.527,11.9,26.6,0.175,0.521,12.3,78,0.194,7,2019
9,Indiana Pacers*,27,48,34,50,32,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,0.53,12.4,21.9,0.182,0.516,14.1,76.2,0.184,0,2019
10,Oklahoma City Thunder*,25.7,49,33,50,32,3.4,0.15,3.56,110.3,107,3.3,102.8,0.266,0.347,0.545,0.514,11.7,26,0.19,0.523,14.4,78.2,0.206,1,2019
11,Philadelphia 76ers*,26.4,51,31,48,34,2.7,-0.44,2.25,112.6,110,2.6,101.6,0.312,0.342,0.574,0.532,12.9,24.5,0.241,0.512,11.1,78.6,0.206,7,2019
12,San Antonio Spurs*,28.8,48,34,45,37,1.68,0.12,1.8,112.9,111.2,1.7,98.3,0.237,0.286,0.572,0.534,11,21,0.194,0.528,11,79.4,0.17,3,2019
13,Los Angeles Clippers*,27.2,48,34,43,39,0.85,0.23,1.09,112.4,111.5,0.9,101.7,0.326,0.295,0.575,0.529,12.7,22,0.258,0.514,11.4,76,0.224,2,2019
14,Orlando Magic*,25.7,42,40,43,39,0.71,-0.43,0.28,108.9,108.1,0.8,98.1,0.216,0.36,0.55,0.518,11.9,22,0.168,0.515,11.8,79.7,0.186,1,2019
15,Brooklyn Nets*,25.4,42,40,41,41,-0.07,-0.33,-0.4,109.6,109.7,-0.1,100.8,0.284,0.403,0.556,0.52,13,23.8,0.211,0.512,11.6,76.4,0.19,1,2019
16,Detroit Pistons*,26.9,41,41,40,42,-0.24,-0.31,-0.56,109,109.2,-0.2,97.4,0.262,0.394,0.544,0.509,12.3,24.8,0.195,0.526,12.8,78.7,0.211,0,2019
17,Miami Heat,27,39,43,40,42,-0.23,-0.22,-0.45,107.3,107.6,-0.3,98.2,0.247,0.368,0.542,0.515,13.1,24.8,0.172,0.51,12.7,77.6,0.201,0,2019
18,Sacramento Kings,24.8,39,43,38,44,-1.12,0.31,-0.81,110.4,111.5,-1.1,103.1,0.244,0.321,0.554,0.524,11.5,23.1,0.177,0.533,13.6,75.5,0.207,0,2019
19,Charlotte Hornets,26.6,39,43,38,44,-1.1,-0.22,-1.32,111.4,112.5,-1.1,98.7,0.257,0.378,0.554,0.514,10.9,21.7,0.205,0.538,12.1,77.1,0.179,0,2019
20,New Orleans Pelicans,25.7,33,49,38,44,-1.33,0.23,-1.1,111.4,112.6,-1.2,103.3,0.254,0.324,0.563,0.529,12.6,24.1,0.193,0.532,11.6,76.8,0.193,0,2019
