iter	Passed	Remaining
401	17348	30122
402	17394	30084
403	17440	30045
404	17485	30005
405	17531	29967
406	17575	29926
407	17603	29857
408	17648	29816
409	17692	29775
410	17737	29734
411	17781	29693
412	17826	29653
413	17870	29612
414	17915	29571
415	17960	29531
416	18005	29491
417	18050	29451
418	18094	29409
419	18139	29368
420	18183	29327
421	18227	29285
422	18271	29243
423	18306	29186
424	18350	29144
425	18395	29104
426	18440	29064
427	18484	29021
428	18529	28982
429	18558	28917
430	18603	28876
431	18648	28836
432	18692	28794
433	18737	28753
434	18780	28711
435	18825	28670
436	18869	28628
437	18914	28588
438	18960	28549
439	19005	28508
440	19049	28466
441	19095	28426
442	19140	28386
443	19185	28346
444	19229	28304
445	19273	28262
446	19325	28231
447	19369	28189
448	19413	28147
449	19457	28105
450	19503	28065
451	19538	28010
452	19582	27968
453	19628	27929
454	19670	27884
455	19714	27842
456	19759	27801
457	19789	27740
458	19834	27698
459	19879	27658
460	19923	27616
461	19968	27575
462	20011	27532
463	20057	27493
464	20101	27449
465	20146	27409
466	20172	27342
467	20216	27300
468	20260	27258
469	20291	27198
470	20335	27157
471	20380	27116
472	20424	27074
473	20468	27032
474	20512	26990
475	20560	26953
476	20605	26912
477	20650	26871
478	20695	26830
479	20724	26768
480	20768	26727
481	20813	26685
482	20857	26644
483	20902	26602
484	20947	26562
485	20992	26521
486	21023	26463
487	21067	26420
488	21112	26380
489	21157	26339
490	21202	26298
491	21248	26258
492	21293	26217
493	21335	26173
494	21381	26132
495	21425	26090
496	21469	26047
497	21514	26007
498	21558	25965
499	21603	25923
500	21648	25883
501	21692	25841
502	21737	25800
503	21783	25759
504	21827	25718
505	21872	25676
506	21916	25634
507	21961	25593
508	22007	25552
509	22051	25510
510	22095	25467
511	22139	25426
512	22183	25383
513	22227	25341
514	22272	25300
515	22317	25258
516	22361	25216
517	22405	25174
518	22450	25132
519	22495	25091
520	22539	25049
521	22583	25006
522	22627	24963
523	22671	24921
524	22716	24879
525	22760	24837
526	22805	24795
527	22849	24753
528	22893	24711
529	22938	24669
530	22983	24628
