iter	RMSE
209	2.936004827
210	2.931599079
211	2.92878256
212	2.926575461
213	2.92583771
214	2.922468709
215	2.91986437
216	2.9166404
217	2.914198103
218	2.909622874
219	2.907495659
220	2.905078304
221	2.900360271
222	2.897974921
223	2.894567002
224	2.891804717
225	2.887197719
226	2.88473995
227	2.882605541
228	2.878790216
229	2.87542565
230	2.87432975
231	2.87266675
232	2.871687048
233	2.869769801
234	2.867453191
235	2.863074549
236	2.859907731
237	2.857745231
238	2.856473494
239	2.853378488
240	2.851745292
241	2.848147676
242	2.846834584
243	2.841182096
244	2.839243148
245	2.837834392
246	2.835233847
247	2.833321918
248	2.830713436
249	2.829159616
250	2.823195222
251	2.821046107
252	2.817039479
253	2.813556731
254	2.809449818
255	2.805777572
256	2.800919094
257	2.799849768
258	2.798433964
259	2.794583725
260	2.792378002
261	2.791027137
262	2.789155124
263	2.784652564
264	2.782026736
265	2.779266666
266	2.775961076
267	2.774558061
268	2.772020263
269	2.767385288
270	2.765282381
271	2.763226743
272	2.761687896
273	2.760166336
274	2.75838669
275	2.754793109
276	2.752712095
277	2.751206699
278	2.748592681
279	2.744029431
280	2.740498279
281	2.738758179
282	2.733647535
283	2.730320778
284	2.725298253
285	2.723471441
286	2.722004658
287	2.71902333
288	2.716319246
289	2.715136484
290	2.713168519
291	2.710545861
292	2.706958643
293	2.704577719
294	2.70344986
295	2.702153329
296	2.700501033
297	2.696754049
298	2.694535119
299	2.689913577
300	2.686498876
301	2.684529489
302	2.682385296
303	2.681750108
304	2.679823115
305	2.674673169
306	2.671286525
307	2.669457509
308	2.667906812
309	2.664309092
310	2.660913626
311	2.659583497
312	2.656907778
313	2.653596027
314	2.652146657
315	2.650331257
316	2.648153634
317	2.645307975
318	2.642568224
319	2.641870148
320	2.640242026
321	2.639330643
322	2.635131893
323	2.631694705
324	2.630311637
325	2.628462189
326	2.627232811
327	2.626058964
328	2.623355698
329	2.619528751
330	2.617385891
331	2.615896802
332	2.613929901
333	2.61086524
334	2.609124802
335	2.607404552
336	2.606416153
337	2.606228465
338	2.603675234
339	2.601887195
340	2.599999384
341	2.599080943
342	2.598621385
343	2.597029769
344	2.593544586
345	2.591238744
346	2.589180235
347	2.586404109
348	2.583989542
349	2.582532273
350	2.58176341
351	2.578858364
352	2.576696692
353	2.571812466
354	2.571150135
355	2.569190138
356	2.565229397
357	2.562920325
358	2.559291554
359	2.555662356
360	2.551941616
361	2.549299638
362	2.54851759
363	2.546604527
364	2.543394489
365	2.540531107
366	2.5378088
367	2.535779127
368	2.532299434
369	2.530127674
370	2.529093428
371	2.526660106
372	2.523502929
373	2.521678523
374	2.51988101
375	2.518111691
376	2.514805988
377	2.51320497
378	2.511488277
379	2.506869961
380	2.506096262
381	2.505121528
382	2.504508869
383	2.502964596
384	2.498653913
385	2.497513537
386	2.495824301
387	2.494485103
388	2.492134167
389	2.491327893
390	2.488258147
391	2.486458863
392	2.4842194
393	2.482711945
394	2.481511899
395	2.48066495
396	2.477926588
397	2.476863685
398	2.476266696
399	2.474248706
400	2.473173645
401	2.470255839
402	2.465973837
403	2.465179413
404	2.462675314
405	2.459603803
406	2.458099989
407	2.457034787
408	2.456015459
409	2.454331001
410	2.453162002
411	2.45185786
412	2.449590323
413	2.447320138
414	2.444826279
415	2.441684245
416	2.437385162
417	2.43529254
418	2.431308065
419	2.428811941
420	2.427144436
421	2.425907501
422	2.424850102
423	2.423898961
424	2.422894389
425	2.420346912
426	2.41855294
427	2.417449967
428	2.414400095
429	2.41403254
430	2.411543102
431	2.407578568
432	2.405677402
433	2.404125628
434	2.401127827
435	2.399671684
436	2.398278049
437	2.395660815
438	2.394882182
439	2.393078649
440	2.391699494
441	2.389383289
442	2.385930721
443	2.38375926
444	2.381584036
445	2.380812255
446	2.379439239
447	2.377633019
448	2.37540456
449	2.373433726
450	2.372470077
451	2.372049276
452	2.368103593
453	2.364707033
454	2.362681478
455	2.361448363
456	2.359979106
457	2.359578913
458	2.358751877
459	2.356072612
460	2.354303069
461	2.352689378
462	2.351286912
463	2.348499461
464	2.346956941
465	2.344874292
466	2.344476955
467	2.343520097
468	2.341348548
469	2.340965512
470	2.336335188
471	2.333060368
472	2.330671596
473	2.328787135
474	2.327892978
475	2.326887024
476	2.324244325
477	2.322902839
478	2.320773654
479	2.320413043
480	2.317212399
481	2.316041279
482	2.31392636
483	2.31218751
484	2.310451899
485	2.309396817
486	2.307637793
487	2.305967207
488	2.303420282
489	2.302184463
490	2.300708843
491	2.298281874
492	2.297363777
493	2.297039884
494	2.295404831
495	2.293862084
496	2.293028507
497	2.290780988
498	2.289429074
499	2.287037253
500	2.28328082
501	2.282353652
502	2.280636804
503	2.277960176
504	2.275998086
505	2.274857444
506	2.274262382
507	2.271932533
508	2.271088347
509	2.26902947
510	2.268607122
511	2.267354793
512	2.266791098
513	2.264771059
514	2.261833105
515	2.259949413
516	2.258854906
517	2.258028604
518	2.255898544
519	2.253991939
520	2.253128628
521	2.251476085
522	2.248493515
523	2.246678249
524	2.243785456
525	2.242748756
526	2.240658251
527	2.238695425
528	2.237450935
529	2.235928795
530	2.23336096
531	2.233206091
532	2.232395533
533	2.228220827
534	2.227185716
535	2.225598192
536	2.224160019
537	2.223203569
538	2.221771895
539	2.219772729
540	2.219257494
541	2.21746165
542	2.214555124
543	2.213035623
544	2.210046192
545	2.209068147
546	2.205127904
547	2.204712176
548	2.203655268
549	2.201438983
550	2.200677173
551	2.197721593
552	2.196739587
553	2.196196655
554	2.191402156
555	2.190534795
556	2.189248835
557	2.186076853
558	2.184146763
559	2.182418938
560	2.180482944
561	2.17858864
562	2.177595336
563	2.177289977
564	2.175924781
565	2.173793359
566	2.172447681
567	2.172087766
568	2.170541007
569	2.169945672
570	2.168131772
571	2.167298011
572	2.166886272
573	2.165476421
574	2.163976905
575	2.163365192
576	2.162657372
577	2.158886149
578	2.157767008
579	2.156069372
580	2.15395131
581	2.152748806
582	2.150689431
583	2.150195595
584	2.149255953
585	2.147475694
586	2.144246088
587	2.143090301
588	2.141797776
589	2.138339416
590	2.137830804
591	2.137357637
592	2.133742671
593	2.132240131
594	2.13043453
595	2.129940406
596	2.127303069
597	2.12493561
598	2.123122534
599	2.121143803
600	2.118545643
601	2.117495984
602	2.116781487
603	2.114609272
604	2.112709767
605	2.111029486
606	2.109543305
607	2.107206821
608	2.105325062
609	2.104752069
610	2.102286795
611	2.10185328
612	2.099671051
613	2.097892196
614	2.096745404
615	2.094573117
616	2.093446721
617	2.091808041
618	2.089747345
619	2.087952112
620	2.086328833
621	2.085708925
622	2.083708614
623	2.081591677
624	2.079387002
625	2.076717869
626	2.074726347
627	2.073669601
628	2.073210368
629	2.072534002
630	2.070848868
631	2.070000981
632	2.067301886
633	2.066542881
634	2.065958374
635	2.063578067
636	2.062853783
637	2.061661258
638	2.061220066
639	2.05838879
640	2.057008047
641	2.055584503
642	2.054485918
643	2.053652613
644	2.052642963
645	2.051954915
646	2.049375949
647	2.046881335
648	2.046403198
649	2.045828347
650	2.044750762
651	2.043205649
652	2.042973442
653	2.041229076
654	2.040576512
655	2.039863351
656	2.038118297
657	2.035421629
658	2.03303383
659	2.030933425
660	2.030136815
661	2.029244043
662	2.028796463
663	2.027292897
664	2.02444156
665	2.023373359
666	2.021618605
667	2.018536751
668	2.018021432
669	2.016186396
670	2.015684896
671	2.014643568
672	2.011279261
673	2.010879048
674	2.010331629
675	2.009175586
676	2.008053839
677	2.007022365
678	2.006415394
679	2.004615126
680	2.002142237
681	2.0014671
682	2.000847829
683	1.999403197
684	1.998297781
685	1.997445176
686	1.996975803
687	1.996197786
688	1.994935495
689	1.99335446
690	1.992300787
691	1.990536163
692	1.98926792
693	1.989016377
694	1.986670261
695	1.98446085
696	1.983336509
697	1.982212095
698	1.981473301
699	1.980742471
700	1.978600454
701	1.977679896
702	1.976337791
703	1.97253315
704	1.971738458
705	1.970703178
706	1.969965175
707	1.967956507
708	1.966840351
709	1.965172095
710	1.964557657
711	1.964105922
712	1.963545462
713	1.96225157
714	1.960262599
715	1.95849114
716	1.957609664
717	1.956142244
718	1.955795564
719	1.955494442
720	1.954915159
721	1.952740461
722	1.951677921
723	1.949686075
724	1.948963056
725	1.948585384
726	1.946387877
727	1.946040149
728	1.944784619
729	1.942634372
730	1.942402113
731	1.94179797
732	1.939012891
733	1.938648964
734	1.93782907
735	1.93627438
736	1.936166995
737	1.934657772
738	1.934226159
739	1.932924613
740	1.932266019
741	1.931277823
742	1.929779085
743	1.928076907
744	1.927056224
745	1.926612755
746	1.924348042
747	1.923817778
748	1.922754313
749	1.919035028
750	1.918650765
751	1.916337152
752	1.91420085
753	1.912468558
754	1.910299492
755	1.908544096
756	1.908291344
757	1.907247471
758	1.907013422
759	1.905083022
760	1.903122646
761	1.902250947
762	1.899699771
763	1.898743844
764	1.898276919
765	1.895520837
766	1.894355157
767	1.892618285
768	1.891365296
769	1.888740764
770	1.88707301
771	1.885428801
772	1.884393561
773	1.884075271
774	1.883970191
775	1.883095148
776	1.882419121
777	1.881646492
778	1.881013922
779	1.879030755
780	1.878885888
781	1.877828705
782	1.875631619
783	1.874381766
784	1.874147788
785	1.873876975
786	1.872812368
787	1.872072917
788	1.869424469
789	1.869030186
790	1.868407883
791	1.867957791
792	1.866984953
793	1.866510922
794	1.86521792
795	1.864752671
796	1.863731857
797	1.86168927
798	1.86034028
799	1.859752216
800	1.858335833
801	1.857921627
802	1.856720963
803	1.855668021
804	1.855358058
805	1.854835192
806	1.852591106
807	1.850398669
808	1.850087522
809	1.84959677
810	1.849391753
811	1.848282319
812	1.847016623
813	1.846216222
814	1.844578501
815	1.842832566
816	1.841522575
817	1.840752942
818	1.8403561
819	1.839856129
820	1.838197904
821	1.835505999
822	1.834281704
823	1.832797455
824	1.832499301
825	1.832208421
826	1.831857937
827	1.830419847
828	1.830218362
829	1.828027405
830	1.826453737
831	1.825391786
832	1.824412978
833	1.822582591
834	1.820493222
835	1.820345047
836	1.819332987
837	1.818122826
838	1.817535863
839	1.816914811
840	1.816260373
841	1.814993657
842	1.813993771
843	1.813918649
844	1.813487642
845	1.812840784
846	1.810819625
847	1.809496898
848	1.808634404
849	1.80659802
850	1.80641665
851	1.805901837
852	1.803676509
853	1.802906345
854	1.800643047
855	1.799471816
856	1.798690157
857	1.797716895
858	1.796965453
859	1.796520983
860	1.795595168
861	1.795256527
862	1.793761113
863	1.792814731
864	1.791735338
865	1.790509459
866	1.789846927
867	1.789012076
868	1.788214592
869	1.786761458
870	1.786502302
871	1.786195044
872	1.784944191
873	1.784349134
874	1.78175713
875	1.781231926
876	1.781068999
877	1.780612902
878	1.78033439
879	1.779712291
880	1.779344681
881	1.779054786
882	1.778922075
883	1.776828424
884	1.776357771
885	1.77590424
886	1.775630971
887	1.775051621
888	1.774405557
889	1.773257719
890	1.772949869
891	1.771958117
892	1.771771687
893	1.771554004
894	1.771370372
895	1.770890314
896	1.770513297
897	1.769003158
898	1.76872187
899	1.767871099
900	1.767260362
901	1.765746682
902	1.763612037
903	1.762027215
904	1.759501694
905	1.757791323
906	1.756306462
907	1.75531314
908	1.754240686
909	1.752016926
910	1.750273503
911	1.749132837
912	1.747728184
913	1.74719211
914	1.746564862
915	1.744124502
916	1.741810944
917	1.740711099
918	1.739468732
919	1.73857947
920	1.736541079
921	1.735942567
922	1.73558327
923	1.73458504
924	1.734413865
925	1.732873751
926	1.731573858
927	1.730003949
928	1.72926691
929	1.727669088
930	1.727241346
931	1.726782036
932	1.726486812
933	1.726439286
934	1.724853621
935	1.724025812
936	1.722845967
937	1.72094484
938	1.72045669
939	1.718575231
940	1.71780303
941	1.717372049
942	1.716847658
943	1.716677775
944	1.716496022
945	1.715414223
946	1.715220866
947	1.71341619
948	1.712870553
949	1.710820871
950	1.708931158
951	1.707943925
952	1.70760741
953	1.706036348
954	1.705572901
955	1.704809039
956	1.703476903
957	1.702890664
958	1.70109433
959	1.700315307
960	1.699645964
961	1.698648464
962	1.698373559
963	1.697907362
964	1.696217921
965	1.694837348
966	1.694026809
967	1.692981099
968	1.692442481
969	1.691751323
970	1.690673395
971	1.690342899
972	1.689133372
973	1.688502894
974	1.68835128
975	1.685821481
976	1.683876429
977	1.68284248
978	1.681716167
979	1.680790697
980	1.679915025
981	1.677941008
982	1.675866949
983	1.674435884
984	1.674131296
985	1.672551914
986	1.671841836
987	1.6709883
988	1.669393423
989	1.66833636
990	1.666055443
991	1.665210219
992	1.664693168
993	1.663087482
994	1.662847908
995	1.661897267
996	1.659391944
997	1.657219125
998	1.656796269
999	1.656402191
1000	1.655214462
1001	1.654906201
1002	1.654079879
1003	1.653689953
1004	1.65264422
1005	1.651298434
1006	1.650766395
1007	1.650146052
1008	1.647986819
1009	1.647630256
1010	1.646060354
1011	1.644345788
1012	1.641966463
1013	1.640250208
1014	1.639471661
1015	1.638844793
1016	1.638466933
1017	1.636747965
1018	1.635407621
1019	1.634703359
1020	1.632450089
1021	1.631235121
1022	1.630601864
1023	1.627322389
1024	1.626921377
1025	1.62627063
1026	1.625546662
1027	1.62443251
1028	1.623922714
1029	1.623035369
1030	1.622164284
1031	1.621075528
1032	1.619720559
1033	1.619582315
1034	1.618625532
1035	1.616588847
1036	1.616033344
1037	1.615559024
1038	1.614230588
1039	1.613014994
1040	1.612337212
1041	1.611483583
1042	1.610754009
1043	1.610721183
1044	1.610325894
1045	1.608624596
1046	1.608114307
1047	1.607196603
1048	1.605515801
1049	1.6049674
1050	1.603578884
1051	1.602637728
1052	1.602135091
1053	1.601211307
1054	1.600841812
1055	1.600307667
1056	1.598514798
1057	1.598261487
1058	1.597129701
1059	1.597080706
1060	1.595940307
1061	1.594109148
1062	1.592228914
1063	1.590572496
1064	1.588483024
1065	1.587556507
1066	1.584891569
1067	1.58312608
1068	1.582099488
1069	1.581535971
1070	1.581247421
1071	1.580294521
1072	1.57906682
1073	1.578790989
1074	1.578764933
1075	1.578297827
1076	1.577636023
1077	1.577188571
1078	1.576566434
1079	1.57508759
1080	1.574680091
1081	1.57444389
1082	1.572129283
1083	1.570507469
1084	1.570465758
1085	1.56995453
1086	1.569195818
1087	1.567929198
1088	1.567329632
1089	1.567011573
1090	1.566511277
1091	1.564866211
1092	1.563185804
1093	1.562276269
1094	1.561809815
1095	1.561319953
1096	1.56091953
1097	1.559021927
1098	1.558552419
1099	1.557367587
